date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,7600.0,0.0,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,1520.0,7600.0,500.0,6100.0,100.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,25500000.0,165750000000.0,1.0
2019-07-30T00:00:00,7600.0,0.0,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,1520.0,7600.0,500.0,6100.0,100.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,7600.0,0.0,0.0,8000.0,8000.0,8000.0,400.0,500.0,4000000.0,1.0,1600.0,8025.0,400.0,8000.0,500.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,8000.0,0.0,0.0,8000.0,8000.0,8000.0,0.0,500.0,4000000.0,1.0,1600.0,8000.0,500.0,0.0,0.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02T00:00:00,8000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1600.0,8000.0,500.0,0.0,0.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,8000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1600.0,8000.0,500.0,6400.0,100.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,8000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1600.0,8025.0,400.0,0.0,0.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07T00:00:00,8000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1600.0,8025.0,400.0,0.0,0.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,8000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1600.0,8025.0,400.0,0.0,0.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,8000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1600.0,8025.0,400.0,0.0,0.0,562224662.0,562224662.0,562224662.0,0.0,0.0,,0.0,0.0,0.0
