date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-02-07,125.0,0.0,0.0,168.0,82.0,130.0,5.0,2240376100.0,283840684500.0,119747.0,104.0,130.0,7339600.0,129.0,5000.0,4375000000.0,875000000.0,875000000.0,5024000.0,5297400.0,,0.0,0.0,0.0
2024-02-12,130.0,0.0,0.0,143.0,108.0,113.0,-17.0,394427400.0,49772931900.0,26274.0,90.4,113.0,1707400.0,112.0,2500.0,4375000000.0,875000000.0,875000000.0,520700.0,101500.0,,0.0,0.0,0.0
2024-02-13,113.0,0.0,0.0,117.0,97.0,97.0,-16.0,51949100.0,5544377900.0,5840.0,77.6,98.0,95400.0,97.0,1453000.0,4375000000.0,875000000.0,875000000.0,34400.0,520000.0,,0.0,0.0,0.0
2024-02-15,97.0,0.0,0.0,110.0,87.0,96.0,-1.0,152550000.0,15278117200.0,6998.0,76.8,97.0,10100.0,96.0,318600.0,4375000000.0,875000000.0,875000000.0,149300.0,172600.0,,0.0,0.0,0.0
2024-02-16,96.0,0.0,0.0,99.0,92.0,93.0,-3.0,75351200.0,7158992100.0,1444.0,74.4,94.0,16300.0,93.0,12800.0,4375000000.0,875000000.0,875000000.0,12800.0,85000.0,,0.0,0.0,0.0
2024-02-19,93.0,0.0,0.0,95.0,79.0,86.0,-7.0,34402900.0,2966897400.0,3751.0,68.8,86.0,228700.0,85.0,200100.0,4375000000.0,875000000.0,875000000.0,114400.0,20800.0,,186227900.0,17319194700.0,2.0
2024-02-20,86.0,0.0,0.0,94.0,77.0,85.0,-1.0,17233300.0,1533813600.0,2087.0,68.0,86.0,34900.0,85.0,146700.0,4375000000.0,875000000.0,875000000.0,92400.0,57900.0,,0.0,0.0,0.0
2024-02-21,85.0,0.0,0.0,86.0,74.0,75.0,-10.0,17457200.0,1386077800.0,1927.0,60.0,75.0,716400.0,74.0,168400.0,4375000000.0,875000000.0,875000000.0,72400.0,103800.0,,0.0,0.0,0.0
2024-02-22,75.0,0.0,0.0,82.0,71.0,75.0,0.0,159325000.0,11943798900.0,3501.0,60.0,76.0,328500.0,75.0,254100.0,4375000000.0,875000000.0,875000000.0,89300.0,57000.0,,0.0,0.0,0.0
2024-02-23,75.0,0.0,0.0,97.0,75.0,81.0,6.0,117466800.0,10244455600.0,10293.0,64.8,82.0,744700.0,81.0,356900.0,4375000000.0,875000000.0,875000000.0,107000.0,231100.0,,0.0,0.0,0.0
