date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-02-07T00:00:00,272.0,0.0,0.0,340.0,268.0,340.0,68.0,422592300.0,134711015000.0,21071.0,125.0,0.0,0.0,340.0,185439400.0,15825800000.0,13365160000.0,3165160000.0,1228600.0,121464000.0,,1713300.0,549969300.0,1.0
2024-02-12T00:00:00,340.0,0.0,0.0,424.0,342.0,400.0,60.0,806981400.0,315655280600.0,63051.0,147.1,402.0,1239900.0,400.0,9952600.0,15825800000.0,13365160000.0,3165160000.0,7786300.0,123913000.0,,27900.0,9486000.0,1.0
2024-02-13T00:00:00,400.0,0.0,0.0,440.0,396.0,408.0,8.0,293488700.0,122936694200.0,28238.0,150.0,408.0,978900.0,406.0,203500.0,15825800000.0,13365160000.0,3165160000.0,14476100.0,16120800.0,,0.0,0.0,0.0
2024-02-15T00:00:00,408.0,0.0,0.0,426.0,348.0,394.0,-14.0,131206300.0,51351549800.0,11695.0,144.9,394.0,27600.0,392.0,281000.0,15825800000.0,13365160000.0,3165160000.0,4031500.0,7875600.0,,0.0,0.0,0.0
2024-02-16T00:00:00,394.0,0.0,0.0,414.0,386.0,412.0,18.0,38019600.0,15332437400.0,4440.0,151.5,414.0,1187800.0,412.0,1503600.0,15825800000.0,13365160000.0,3165160000.0,2571200.0,2411500.0,,10600.0,4642800.0,2.0
2024-02-19T00:00:00,412.0,0.0,0.0,510.0,388.0,505.0,93.0,219116300.0,100767571200.0,26058.0,185.7,510.0,697800.0,505.0,7920700.0,15825800000.0,13365160000.0,3165160000.0,17231100.0,15017100.0,,0.0,0.0,0.0
2024-02-20T00:00:00,505.0,0.0,0.0,630.0,492.0,630.0,125.0,244416500.0,137552556600.0,32339.0,231.6,0.0,0.0,630.0,9085900.0,15825800000.0,13365160000.0,3165160000.0,13970400.0,8652400.0,,1000.0,380000.0,1.0
2024-02-21T00:00:00,630.0,0.0,0.0,785.0,620.0,745.0,115.0,295316700.0,212099857500.0,47561.0,273.9,750.0,3160200.0,745.0,275400.0,15825800000.0,13365160000.0,3165160000.0,9690700.0,13214500.0,,0.0,0.0,0.0
2024-02-22T00:00:00,745.0,0.0,0.0,865.0,745.0,815.0,70.0,216860700.0,177256370000.0,37821.0,299.6,820.0,594800.0,815.0,1600300.0,15825800000.0,13365160000.0,3165160000.0,5866100.0,17555800.0,,0.0,0.0,0.0
2024-02-23T00:00:00,815.0,0.0,0.0,895.0,725.0,770.0,-45.0,194422000.0,161355619000.0,33398.0,283.1,775.0,308000.0,770.0,5425700.0,15825800000.0,13365160000.0,3165160000.0,6583300.0,12660000.0,,0.0,0.0,0.0
