date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,96.0,0.0,0.0,97.0,95.0,96.0,0.0,28423000.0,2733570200.0,524.0,73.8,96.0,84300.0,95.0,260200.0,6811269200.0,6811269200.0,6811269200.0,679700.0,0.0,,13485688.0,3914210748.0,16.0
2019-07-30,96.0,0.0,0.0,97.0,95.0,96.0,0.0,27710900.0,2660133400.0,425.0,73.8,97.0,245000.0,96.0,40100.0,6811269200.0,6811269200.0,6811269200.0,60900.0,0.0,,9403385.0,2595734815.0,8.0
2019-07-31,96.0,0.0,0.0,97.0,95.0,95.0,-1.0,28801700.0,2764923400.0,453.0,73.1,96.0,250000.0,95.0,139100.0,6811269200.0,6811269200.0,6811269200.0,438600.0,279800.0,,28782369.0,7869900524.0,22.0
2019-08-01,95.0,0.0,0.0,96.0,91.0,93.0,-2.0,30066700.0,2824283200.0,685.0,71.5,94.0,9100.0,93.0,483600.0,6811269200.0,6811269200.0,6811269200.0,100000.0,363900.0,,22132112.0,5645516297.0,8.0
2019-08-02,93.0,0.0,0.0,94.0,92.0,93.0,0.0,24942500.0,2316450300.0,502.0,71.5,93.0,130600.0,92.0,49900.0,6811269200.0,6811269200.0,6811269200.0,155500.0,0.0,,1398046.0,779008802.0,8.0
2019-08-05,93.0,0.0,0.0,92.0,85.0,87.0,-6.0,30606100.0,2759113500.0,771.0,66.9,88.0,43200.0,86.0,238100.0,6811269200.0,6811269200.0,6811269200.0,394500.0,419400.0,,16861901.0,3634941221.0,18.0
2019-08-06,87.0,0.0,0.0,88.0,85.0,88.0,1.0,1274400.0,110204100.0,96.0,67.7,88.0,145000.0,86.0,245000.0,6811269200.0,6811269200.0,6811269200.0,810200.0,251800.0,,13982582.0,2865195137.0,11.0
2019-08-07,88.0,0.0,0.0,88.0,87.0,88.0,0.0,709700.0,62146100.0,50.0,67.7,89.0,140600.0,88.0,92600.0,6811269200.0,6811269200.0,6811269200.0,450000.0,0.0,,34950664.0,8412242704.0,15.0
2019-08-08,88.0,0.0,0.0,90.0,85.0,88.0,0.0,1058900.0,93696900.0,83.0,67.7,89.0,225100.0,88.0,151700.0,6811269200.0,6811269200.0,6811269200.0,750000.0,0.0,,16118029.0,2464620190.0,7.0
2019-08-09,88.0,0.0,0.0,89.0,88.0,88.0,0.0,811300.0,71834700.0,48.0,67.7,89.0,14500.0,88.0,37600.0,6811269200.0,6811269200.0,6811269200.0,450000.0,0.0,,3744320.0,564830420.0,4.0
2019-08-12,88.0,0.0,0.0,89.0,87.0,88.0,0.0,500800.0,43984300.0,60.0,67.7,89.0,170100.0,88.0,343900.0,6811269200.0,6811269200.0,6811269200.0,250000.0,0.0,,17955956.0,3299696017.0,12.0
2019-08-13,88.0,0.0,0.0,95.0,86.0,90.0,2.0,1890000.0,169723900.0,255.0,69.2,91.0,111200.0,90.0,84900.0,6811269200.0,6811269200.0,6811269200.0,588400.0,19800.0,,13022307.0,3364177903.0,20.0
2019-08-14,90.0,0.0,0.0,94.0,90.0,90.0,0.0,1052500.0,96030600.0,83.0,69.2,91.0,60500.0,90.0,195300.0,6811269200.0,6811269200.0,6811269200.0,488000.0,15500.0,,7320485.0,1819622761.0,7.0
2019-08-15,90.0,0.0,0.0,91.0,89.0,90.0,0.0,610000.0,54952400.0,38.0,69.2,90.0,18000.0,89.0,14800.0,6811269200.0,6811269200.0,6811269200.0,489500.0,41200.0,,4986805.0,811153201.0,7.0
2019-08-16,90.0,0.0,0.0,92.0,89.0,89.0,-1.0,516000.0,46148700.0,33.0,68.5,90.0,55800.0,89.0,200000.0,6811269200.0,6811269200.0,6811269200.0,399200.0,20600.0,,6235800.0,954215683.0,7.0
2019-08-19,89.0,0.0,0.0,90.0,89.0,89.0,0.0,881400.0,78552100.0,23.0,68.5,90.0,30000.0,89.0,292800.0,6811269200.0,6811269200.0,6811269200.0,824400.0,0.0,,14336625.0,2495057766.0,11.0
2019-08-20,89.0,0.0,0.0,89.0,88.0,88.0,-1.0,334300.0,29605400.0,47.0,67.7,88.0,3800.0,87.0,75200.0,6811269200.0,6811269200.0,6811269200.0,146200.0,0.0,,21601021.0,3662404335.0,8.0
2019-08-21,88.0,0.0,0.0,90.0,86.0,88.0,0.0,183500.0,16083800.0,37.0,67.7,88.0,2000.0,87.0,479500.0,6811269200.0,6811269200.0,6811269200.0,61600.0,0.0,,16867898.0,3061431381.0,18.0
2019-08-22,88.0,0.0,0.0,90.0,87.0,88.0,0.0,692000.0,60873700.0,28.0,67.7,89.0,50000.0,88.0,3700.0,6811269200.0,6811269200.0,6811269200.0,300000.0,8200.0,,11842307.0,2085035316.0,10.0
2019-08-23,88.0,0.0,0.0,91.0,87.0,91.0,3.0,754500.0,67266300.0,44.0,70.0,91.0,530100.0,89.0,600.0,6811269200.0,6811269200.0,6811269200.0,350000.0,0.0,,23565669.0,6085094030.0,9.0
2019-08-26,91.0,0.0,0.0,93.0,87.0,89.0,-2.0,227500.0,20205800.0,38.0,68.5,89.0,23800.0,87.0,134200.0,6811269200.0,6811269200.0,6811269200.0,86500.0,40000.0,,25638474.0,4599982213.0,25.0
2019-08-27,89.0,0.0,0.0,91.0,89.0,90.0,1.0,59700.0,5314300.0,18.0,69.2,90.0,150400.0,88.0,75300.0,6811269200.0,6811269200.0,6811269200.0,54400.0,0.0,,16783783.0,3239183464.0,18.0
2019-08-28,90.0,0.0,0.0,90.0,86.0,89.0,-1.0,162600.0,14391900.0,36.0,68.5,90.0,160400.0,89.0,16100.0,6811269200.0,6811269200.0,6811269200.0,4300.0,0.0,,12698003.0,2709084831.0,21.0
2019-08-29,89.0,0.0,0.0,89.0,86.0,86.0,-3.0,454500.0,39380900.0,59.0,66.2,88.0,1100.0,86.0,76300.0,6811269200.0,6811269200.0,6811269200.0,122700.0,0.0,,10565192.0,2565211014.0,7.0
2019-08-30,86.0,0.0,0.0,88.0,85.0,87.0,1.0,244100.0,21129600.0,26.0,66.9,87.0,2300.0,86.0,28100.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,10666700.0,1600005000.0,5.0
2019-09-02,87.0,0.0,0.0,87.0,84.0,86.0,-1.0,457900.0,39020800.0,72.0,66.2,86.0,45400.0,84.0,58900.0,6811269200.0,6811269200.0,6811269200.0,11800.0,0.0,,5409867.0,1072315694.0,10.0
2019-09-03,86.0,0.0,0.0,86.0,84.0,86.0,0.0,156600.0,13311000.0,49.0,66.2,86.0,159200.0,84.0,79800.0,6811269200.0,6811269200.0,6811269200.0,15500.0,13900.0,,2666700.0,400005000.0,1.0
2019-09-04,86.0,0.0,0.0,86.0,83.0,84.0,-2.0,170200.0,14313900.0,59.0,64.6,85.0,59900.0,84.0,3400.0,6811269200.0,6811269200.0,6811269200.0,14100.0,0.0,,13343929.0,2622423969.0,11.0
2019-09-05,84.0,0.0,0.0,87.0,82.0,87.0,3.0,578400.0,49119700.0,126.0,66.9,88.0,8600.0,87.0,1400.0,6811269200.0,6811269200.0,6811269200.0,11700.0,0.0,,44929524.0,11859635089.0,23.0
2019-09-06,87.0,0.0,0.0,88.0,85.0,86.0,-1.0,250600.0,21623100.0,54.0,66.2,86.0,8400.0,85.0,13800.0,6811269200.0,6811269200.0,6811269200.0,11100.0,0.0,,33519160.0,6502996875.0,9.0
2019-09-09,86.0,0.0,0.0,88.0,83.0,88.0,2.0,598600.0,51044100.0,88.0,67.7,88.0,68000.0,87.0,50000.0,6811269200.0,6811269200.0,6811269200.0,12400.0,216900.0,,20842365.0,4719667433.0,13.0
2019-09-10,88.0,0.0,0.0,87.0,84.0,87.0,-1.0,260600.0,22408200.0,44.0,66.9,87.0,22500.0,86.0,43800.0,6811269200.0,6811269200.0,6811269200.0,3800.0,11900.0,,3997160.0,683724814.0,18.0
2019-09-11,87.0,0.0,0.0,95.0,80.0,91.0,4.0,2159700.0,190096500.0,356.0,70.0,92.0,45000.0,91.0,82300.0,6811269200.0,6811269200.0,6811269200.0,114000.0,0.0,,13571151.0,2826902217.0,11.0
2019-09-12,91.0,0.0,0.0,92.0,89.0,92.0,1.0,821800.0,74667300.0,83.0,70.8,92.0,87400.0,90.0,7700.0,6811269200.0,6811269200.0,6811269200.0,315100.0,0.0,,4482844.0,849486440.0,7.0
2019-09-13,92.0,0.0,0.0,92.0,90.0,92.0,0.0,230900.0,21014800.0,67.0,70.8,92.0,34300.0,90.0,39800.0,6811269200.0,6811269200.0,6811269200.0,100000.0,0.0,,22178715.0,5519191180.0,20.0
2019-09-16,92.0,0.0,0.0,90.0,85.0,86.0,-6.0,312100.0,26688000.0,39.0,66.2,89.0,5200.0,86.0,76500.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,17937012.0,3999383833.0,11.0
2019-09-17,86.0,0.0,0.0,89.0,86.0,88.0,2.0,59300.0,5106800.0,10.0,67.7,88.0,27300.0,87.0,5000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,6690569.0,1733146032.0,6.0
2019-09-18,88.0,0.0,0.0,89.0,81.0,88.0,0.0,1449700.0,122759600.0,280.0,67.7,88.0,49700.0,86.0,5500.0,6811269200.0,6811269200.0,6811269200.0,300.0,0.0,,31254987.0,6648456294.0,20.0
2019-09-19,88.0,0.0,0.0,88.0,85.0,86.0,-2.0,251800.0,21575300.0,24.0,66.2,87.0,77200.0,86.0,7600.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,44798221.0,8913030297.0,20.0
2019-09-20,86.0,0.0,0.0,87.0,85.0,87.0,1.0,81900.0,7099000.0,30.0,66.9,87.0,39600.0,86.0,40800.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,18471328.0,3570252186.0,16.0
2019-09-23,87.0,0.0,0.0,87.0,83.0,86.0,-1.0,86400.0,7429100.0,29.0,66.2,86.0,7700.0,83.0,3100.0,6811269200.0,6811269200.0,6811269200.0,0.0,100.0,,21798600.0,5051585607.0,15.0
2019-09-24,86.0,0.0,0.0,86.0,83.0,85.0,-1.0,348500.0,29596400.0,44.0,65.4,85.0,25800.0,83.0,47100.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,122263062.0,24354142243.0,8.0
2019-09-25,85.0,0.0,0.0,87.0,83.0,84.0,-1.0,146300.0,12292700.0,31.0,64.6,85.0,43900.0,83.0,143600.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,38170254.0,7349764463.0,16.0
2019-09-26,84.0,0.0,0.0,85.0,83.0,84.0,0.0,252200.0,21092800.0,37.0,64.6,84.0,300.0,83.0,200.0,6811269200.0,6811269200.0,6811269200.0,0.0,82600.0,,17228371.0,3626331428.0,11.0
2019-09-27,84.0,0.0,0.0,84.0,75.0,82.0,-2.0,1903700.0,151046600.0,204.0,63.1,83.0,29400.0,82.0,2000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,19341170.0,3418269663.0,13.0
2019-09-30,82.0,0.0,0.0,84.0,76.0,82.0,0.0,523500.0,41782200.0,65.0,63.1,82.0,11200.0,79.0,19000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,5696562.0,1506683558.0,11.0
2019-10-01,82.0,0.0,0.0,82.0,81.0,82.0,0.0,182700.0,14846700.0,22.0,63.1,83.0,2000.0,82.0,10200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,35096618.0,5856214245.0,14.0
2019-10-02,82.0,0.0,0.0,86.0,83.0,85.0,3.0,373900.0,31623000.0,48.0,65.4,86.0,17900.0,85.0,83900.0,6811269200.0,6811269200.0,6811269200.0,50000.0,0.0,,48495424.0,10525362839.0,24.0
2019-10-03,85.0,0.0,0.0,82.0,78.0,80.0,-5.0,401500.0,32129400.0,51.0,61.5,82.0,7300.0,80.0,53200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,7380798.0,1729700335.0,19.0
2019-10-04,80.0,0.0,0.0,82.0,81.0,82.0,2.0,24400.0,1979900.0,11.0,63.1,82.0,5300.0,81.0,230300.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,56479297.0,12455071915.0,27.0
2019-10-07,82.0,0.0,0.0,83.0,80.0,81.0,-1.0,134500.0,10885400.0,17.0,62.3,82.0,9900.0,81.0,1400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,10592628.0,1990813954.0,5.0
2019-10-08,81.0,0.0,0.0,81.0,80.0,80.0,-1.0,132500.0,10601700.0,23.0,61.5,81.0,3300.0,79.0,11600.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,11644839.0,2227107459.0,11.0
2019-10-09,80.0,0.0,0.0,82.0,79.0,82.0,2.0,28600.0,2280000.0,18.0,63.1,82.0,4400.0,81.0,4700.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,16628000.0,3750024000.0,3.0
2019-10-10,82.0,0.0,0.0,83.0,82.0,83.0,1.0,97900.0,8123900.0,18.0,63.8,83.0,1000.0,82.0,55200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,9918435.0,2176603627.0,17.0
2019-10-11,83.0,0.0,0.0,91.0,83.0,91.0,8.0,578700.0,49996300.0,100.0,70.0,91.0,30500.0,89.0,1600.0,6811269200.0,6811269200.0,6811269200.0,50000.0,0.0,,9287645.0,1927163118.0,14.0
2019-10-14,91.0,0.0,0.0,93.0,89.0,91.0,0.0,849200.0,77138300.0,73.0,70.0,91.0,8500.0,89.0,4600.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,6256187.0,1215642045.0,6.0
2019-10-15,91.0,0.0,0.0,91.0,87.0,89.0,-2.0,901300.0,80942900.0,37.0,68.5,91.0,50000.0,89.0,60600.0,6811269200.0,6811269200.0,6811269200.0,100000.0,0.0,,13755469.0,3257367050.0,9.0
2019-10-16,89.0,0.0,0.0,90.0,87.0,90.0,1.0,69100.0,6166400.0,40.0,69.2,90.0,3800.0,88.0,27200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,13604391.0,3203759474.0,14.0
2019-10-17,90.0,0.0,0.0,88.0,85.0,85.0,-5.0,424100.0,36262400.0,70.0,65.4,87.0,5900.0,85.0,94800.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,3714295.0,565915945.0,7.0
2019-10-18,85.0,0.0,0.0,87.0,85.0,87.0,2.0,8900.0,760600.0,12.0,66.9,87.0,13100.0,86.0,500.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,25739107.0,4263553938.0,13.0
2019-10-21,87.0,0.0,0.0,84.0,83.0,84.0,-3.0,26700.0,2226600.0,11.0,64.6,86.0,100.0,84.0,2900.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,7045121.0,1079806319.0,8.0
2019-10-22,84.0,0.0,0.0,87.0,84.0,87.0,3.0,4100.0,348600.0,11.0,66.9,87.0,15000.0,84.0,1500.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,39020427.0,8685377289.0,17.0
2019-10-23,87.0,0.0,0.0,87.0,86.0,86.0,-1.0,112200.0,9659200.0,11.0,66.2,86.0,53200.0,85.0,1300.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,4997124.0,1183450946.0,12.0
2019-10-24,86.0,0.0,0.0,87.0,86.0,86.0,0.0,103500.0,8901100.0,13.0,66.2,86.0,19100.0,85.0,2000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,14437135.0,4431021181.0,16.0
2019-10-25,86.0,0.0,0.0,89.0,84.0,89.0,3.0,36400.0,3113800.0,23.0,68.5,89.0,18600.0,83.0,12000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,29722284.0,4940007647.0,15.0
2019-10-28,89.0,0.0,0.0,89.0,85.0,88.0,-1.0,3600.0,317300.0,8.0,67.7,88.0,203900.0,86.0,1600.0,6811269200.0,6811269200.0,6811269200.0,0.0,100.0,,23323872.0,4192385602.0,17.0
2019-10-29,88.0,0.0,0.0,88.0,88.0,88.0,0.0,100.0,8800.0,1.0,67.7,87.0,100.0,85.0,1500.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,26825908.0,8226133365.0,15.0
2019-10-30,88.0,0.0,0.0,87.0,84.0,84.0,-4.0,60500.0,5167600.0,25.0,64.6,84.0,5800.0,83.0,6800.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,5963474.0,1110127228.0,6.0
2019-10-31,84.0,0.0,0.0,86.0,82.0,86.0,2.0,44200.0,3691600.0,27.0,66.2,86.0,3300.0,82.0,10000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,7273241.0,2405864239.0,12.0
2019-11-01,86.0,0.0,0.0,84.0,73.0,84.0,-2.0,1554400.0,122995800.0,100.0,64.6,85.0,1200.0,84.0,101600.0,6811269200.0,6811269200.0,6811269200.0,0.0,207600.0,,7601279.0,2451757203.0,6.0
2019-11-04,84.0,0.0,0.0,85.0,79.0,84.0,0.0,171300.0,14040100.0,16.0,64.6,84.0,200.0,81.0,7900.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,31451611.0,7830772071.0,13.0
2019-11-05,84.0,0.0,0.0,85.0,78.0,85.0,1.0,60400.0,5104700.0,27.0,65.4,85.0,500.0,84.0,200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,6565251.0,1454026458.0,8.0
2019-11-06,85.0,0.0,0.0,84.0,77.0,84.0,-1.0,694600.0,55862300.0,58.0,64.6,84.0,11000.0,83.0,100000.0,6811269200.0,6811269200.0,6811269200.0,0.0,31600.0,,2754488.0,596085620.0,7.0
2019-11-07,84.0,0.0,0.0,84.0,78.0,83.0,-1.0,777800.0,62634000.0,31.0,63.8,84.0,271200.0,82.0,300000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,9669363.0,1787552879.0,8.0
2019-11-08,83.0,0.0,0.0,84.0,81.0,82.0,-1.0,594700.0,49040600.0,10.0,63.1,82.0,216000.0,81.0,180300.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,1116201.0,318614172.0,6.0
2019-11-11,82.0,0.0,0.0,82.0,79.0,82.0,0.0,28500.0,2330200.0,9.0,63.1,82.0,51400.0,80.0,146900.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,12674984.0,2588238426.0,7.0
2019-11-12,82.0,0.0,0.0,82.0,81.0,81.0,-1.0,700900.0,57323300.0,14.0,62.3,81.0,158200.0,80.0,400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,1000269.0,344779422.0,5.0
2019-11-13,81.0,0.0,0.0,81.0,79.0,81.0,0.0,332300.0,26514300.0,9.0,62.3,81.0,128200.0,80.0,20500.0,6811269200.0,6811269200.0,6811269200.0,0.0,300.0,,16652652.0,3460297949.0,16.0
2019-11-14,81.0,0.0,0.0,80.0,77.0,80.0,-1.0,357800.0,28524400.0,9.0,61.5,81.0,1200.0,80.0,5800.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,19172868.0,5181565792.0,5.0
2019-11-15,80.0,0.0,0.0,80.0,78.0,80.0,0.0,52100.0,4115800.0,6.0,61.5,80.0,49300.0,79.0,199600.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,10633805.0,2433085556.0,8.0
2019-11-18,80.0,0.0,0.0,82.0,72.0,82.0,2.0,361600.0,28045200.0,37.0,63.1,82.0,8400.0,80.0,100000.0,6811269200.0,6811269200.0,6811269200.0,0.0,100.0,,9411891.0,1857484835.0,10.0
2019-11-19,82.0,0.0,0.0,85.0,79.0,79.0,-3.0,326500.0,26038500.0,23.0,60.8,79.0,40000.0,78.0,23600.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,19636365.0,6250131865.0,7.0
2019-11-20,79.0,0.0,0.0,82.0,78.0,78.0,-1.0,202500.0,16085900.0,9.0,60.0,80.0,300.0,78.0,9400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,67527.0,13918489.0,2.0
2019-11-21,78.0,0.0,0.0,82.0,79.0,82.0,4.0,105800.0,8363000.0,7.0,63.1,82.0,100.0,81.0,100.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,27300974.0,6529215659.0,17.0
2019-11-22,82.0,0.0,0.0,82.0,81.0,81.0,-1.0,22900.0,1855300.0,12.0,62.3,81.0,1000.0,79.0,150400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,4018299.0,824818169.0,9.0
2019-11-25,81.0,0.0,0.0,82.0,79.0,81.0,0.0,42500.0,3358800.0,6.0,62.3,82.0,25000.0,80.0,100.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,4709794.0,1101014226.0,12.0
2019-11-26,81.0,0.0,0.0,82.0,74.0,80.0,-1.0,47600.0,3712200.0,15.0,61.5,80.0,12700.0,79.0,120200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,3999978.0,1095824626.0,10.0
2019-11-27,80.0,0.0,0.0,81.0,79.0,80.0,0.0,127100.0,10049400.0,7.0,61.5,81.0,100200.0,80.0,92300.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,46715227.0,5284400065.0,25.0
2019-11-28,80.0,0.0,0.0,80.0,79.0,80.0,0.0,12300.0,973800.0,5.0,61.5,83.0,5000.0,80.0,8000.0,6811269200.0,6811269200.0,6811269200.0,100.0,0.0,,25172730.0,6125328337.0,18.0
2019-11-29,80.0,0.0,0.0,80.0,79.0,79.0,-1.0,28500.0,2252200.0,9.0,60.8,80.0,149300.0,79.0,98200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,9261014.0,2829867320.0,4.0
2019-12-02,79.0,0.0,0.0,88.0,79.0,84.0,5.0,375000.0,32430100.0,23.0,64.6,86.0,2800.0,84.0,38000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,12507604.0,3772776665.0,14.0
2019-12-03,84.0,0.0,0.0,88.0,81.0,88.0,4.0,219900.0,19158700.0,23.0,67.7,89.0,565600.0,88.0,18300.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,3108931.0,1011052029.0,2.0
2019-12-04,88.0,0.0,0.0,88.0,83.0,83.0,-5.0,15200.0,1336600.0,6.0,63.8,87.0,52600.0,84.0,60000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,2056567.0,570368027.0,6.0
2019-12-05,83.0,0.0,0.0,89.0,82.0,86.0,3.0,120400.0,10363500.0,11.0,66.2,86.0,200.0,79.0,5000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,12991530.0,3975581608.0,11.0
2019-12-06,86.0,0.0,0.0,88.0,82.0,85.0,-1.0,162100.0,14052800.0,13.0,65.4,86.0,20000.0,85.0,10000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,8851790.0,2552378755.0,7.0
2019-12-09,85.0,0.0,0.0,85.0,84.0,84.0,-1.0,161400.0,13677600.0,10.0,64.6,85.0,179300.0,84.0,157700.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,18426138.0,5653875952.0,8.0
2019-12-10,84.0,0.0,0.0,80.0,80.0,80.0,-4.0,100.0,8000.0,1.0,61.5,84.0,9500.0,81.0,30000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,41027193.0,9224441067.0,23.0
2019-12-11,80.0,0.0,0.0,86.0,81.0,86.0,6.0,51900.0,4435600.0,20.0,66.2,86.0,15000.0,85.0,500.0,6811269200.0,6811269200.0,6811269200.0,600.0,600.0,,7331987.0,2321435818.0,6.0
2019-12-12,86.0,0.0,0.0,85.0,77.0,85.0,-1.0,78900.0,6307100.0,18.0,65.4,84.0,43800.0,83.0,75000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,11303772.0,2252947799.0,8.0
2019-12-13,85.0,0.0,0.0,85.0,82.0,85.0,0.0,29800.0,2532700.0,6.0,65.4,85.0,4500.0,84.0,150000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,29202451.0,6898090616.0,13.0
2019-12-16,85.0,0.0,0.0,83.0,80.0,83.0,-2.0,40300.0,3304500.0,11.0,63.8,84.0,19300.0,83.0,7500.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,133880.0,27492484.0,4.0
2019-12-17,83.0,0.0,0.0,89.0,81.0,83.0,0.0,15200.0,1334600.0,12.0,63.8,86.0,10000.0,83.0,10000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,22182852.0,5562557380.0,7.0
2019-12-18,83.0,0.0,0.0,85.0,83.0,85.0,2.0,11700.0,974100.0,6.0,65.4,84.0,1000.0,83.0,7400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,13024527.0,3142084553.0,14.0
2019-12-19,85.0,0.0,0.0,85.0,80.0,85.0,0.0,62300.0,5175100.0,20.0,65.4,86.0,7400.0,85.0,1200.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,13235206.0,3202432878.0,12.0
2019-12-20,85.0,0.0,0.0,81.0,65.0,74.0,-11.0,1577400.0,111325500.0,271.0,56.9,74.0,44900.0,72.0,1700.0,6811269200.0,6811269200.0,6811269200.0,0.0,1900.0,,27126130.0,4848423154.0,18.0
2019-12-23,74.0,0.0,0.0,85.0,64.0,79.0,5.0,140700.0,10434600.0,51.0,60.8,79.0,70600.0,78.0,10000.0,6811269200.0,6811269200.0,6811269200.0,0.0,25900.0,,10842369.0,2443936160.0,12.0
2019-12-26,79.0,0.0,0.0,79.0,67.0,78.0,-1.0,96100.0,6711400.0,27.0,60.0,78.0,38600.0,77.0,2400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,30653450.0,6724884621.0,25.0
2019-12-27,78.0,0.0,0.0,77.0,72.0,74.0,-4.0,206400.0,15323100.0,41.0,56.9,76.0,4100.0,73.0,3000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,31549279.0,7348214706.0,16.0
2019-12-30,74.0,0.0,0.0,82.0,72.0,74.0,0.0,31600.0,2306200.0,14.0,56.9,0.0,0.0,0.0,0.0,6811269200.0,6811269200.0,6811269200.0,200.0,200.0,,29304537.0,7046341375.0,11.0
2020-01-02,74.0,0.0,0.0,80.0,76.0,77.0,3.0,73200.0,5682400.0,14.0,59.2,78.0,600.0,77.0,100000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,17018806.0,3564946089.0,23.0
2020-01-03,77.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,59.2,76.0,200.0,75.0,1000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,61335917.0,12960005431.0,32.0
2020-01-06,77.0,0.0,0.0,78.0,70.0,78.0,1.0,201600.0,15572600.0,17.0,60.0,78.0,4200.0,77.0,150100.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,12296740.0,2363969839.0,21.0
2020-01-07,78.0,0.0,0.0,78.0,72.0,78.0,0.0,22300.0,1698900.0,20.0,60.0,79.0,150100.0,78.0,5400.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,2302783.0,512807697.0,2.0
2020-01-08,78.0,0.0,0.0,77.0,66.0,76.0,-2.0,1400.0,104400.0,11.0,58.5,76.0,116700.0,75.0,125000.0,6811269200.0,6811269200.0,6811269200.0,200.0,0.0,,15060331.0,4079247830.0,11.0
2020-01-09,76.0,0.0,0.0,75.0,70.0,74.0,-2.0,97000.0,7120200.0,19.0,56.9,74.0,52700.0,73.0,100000.0,6811269200.0,6811269200.0,6811269200.0,0.0,0.0,,1238134.0,270861810.0,3.0
