date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-02-08T00:00:00,162.0,0.0,0.0,160.0,146.0,146.0,-16.0,8127600.0,1186754000.0,574.0,90.1,146.0,82342000.0,0.0,0.0,1537546000.0,308000000.0,0.0,0.0,22000.0,,0.0,0.0,0.0
2023-02-09T00:00:00,146.0,0.0,0.0,132.0,132.0,132.0,-14.0,769500.0,101574000.0,212.0,81.5,132.0,53870100.0,0.0,0.0,1537546000.0,308000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-02-10T00:00:00,132.0,0.0,0.0,134.0,119.0,124.0,-8.0,75577100.0,9174226100.0,8332.0,76.5,124.0,746000.0,123.0,599500.0,1537546000.0,308000000.0,0.0,63100.0,0.0,,103200.0,16718400.0,1.0
2023-02-13T00:00:00,124.0,0.0,0.0,125.0,112.0,112.0,-12.0,16488700.0,1875410900.0,3827.0,69.1,112.0,1465300.0,0.0,0.0,1537546000.0,308000000.0,0.0,0.0,100.0,,0.0,0.0,0.0
2023-02-14T00:00:00,112.0,0.0,0.0,115.0,101.0,102.0,-10.0,26357500.0,2787427300.0,3360.0,63.0,102.0,95100.0,101.0,117500.0,1537546000.0,308000000.0,0.0,1052800.0,0.0,,0.0,0.0,0.0
2023-02-15T00:00:00,102.0,0.0,0.0,104.0,92.0,94.0,-8.0,8313000.0,806149700.0,1869.0,58.0,95.0,10500.0,94.0,229800.0,1537546000.0,308000000.0,0.0,0.0,10000.0,,0.0,0.0,0.0
2023-02-16T00:00:00,94.0,0.0,0.0,96.0,85.0,96.0,2.0,15578000.0,1423643400.0,1811.0,59.3,97.0,612800.0,96.0,120000.0,1537546000.0,308000000.0,0.0,280600.0,1000.0,,0.0,0.0,0.0
2023-02-17T00:00:00,96.0,0.0,0.0,105.0,93.0,105.0,9.0,29052000.0,2969762700.0,2621.0,64.8,0.0,0.0,105.0,8813000.0,1537546000.0,308000000.0,0.0,700000.0,900000.0,,0.0,0.0,0.0
2023-02-20T00:00:00,105.0,0.0,0.0,114.0,97.0,97.0,-8.0,21792300.0,2290089700.0,2987.0,59.9,97.0,956800.0,96.0,960500.0,1537546000.0,308000000.0,0.0,0.0,10000.0,,61719100.0,5863314500.0,1.0
2023-02-21T00:00:00,97.0,0.0,0.0,98.0,89.0,92.0,-5.0,8007500.0,742951400.0,2179.0,56.8,93.0,409200.0,92.0,114600.0,1537546000.0,308000000.0,0.0,62300.0,40000.0,,0.0,0.0,0.0
2023-02-22T00:00:00,92.0,0.0,0.0,99.0,90.0,98.0,6.0,15414400.0,1486024900.0,1444.0,60.5,99.0,1213600.0,98.0,294200.0,1537546000.0,308000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-02-23T00:00:00,98.0,0.0,0.0,102.0,93.0,99.0,1.0,4802700.0,471004400.0,922.0,61.1,100.0,168100.0,99.0,130900.0,1537546000.0,308000000.0,0.0,0.0,1100.0,,0.0,0.0,0.0
2023-02-24T00:00:00,99.0,0.0,0.0,104.0,95.0,99.0,0.0,5233100.0,526680900.0,998.0,61.1,100.0,5800.0,99.0,421000.0,1537546000.0,308000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-02-27T00:00:00,99.0,0.0,0.0,106.0,96.0,106.0,7.0,7410300.0,769925300.0,766.0,65.4,107.0,217900.0,106.0,12600.0,1537546000.0,308000000.0,0.0,40000.0,2400.0,,0.0,0.0,0.0
2023-02-28T00:00:00,106.0,0.0,0.0,108.0,104.0,106.0,0.0,10256000.0,1079597500.0,1415.0,65.4,106.0,379800.0,105.0,145800.0,1537546000.0,308000000.0,0.0,0.0,500.0,,0.0,0.0,0.0
2023-03-01T00:00:00,106.0,0.0,0.0,114.0,104.0,107.0,1.0,15079300.0,1632795900.0,2051.0,66.0,108.0,554600.0,107.0,145400.0,1537546000.0,308000000.0,0.0,18800.0,18800.0,,0.0,0.0,0.0
2023-03-02T00:00:00,107.0,0.0,0.0,112.0,102.0,111.0,4.0,9061100.0,986489300.0,1094.0,68.5,111.0,152100.0,110.0,131700.0,1537546000.0,308000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-03-03T00:00:00,111.0,0.0,0.0,114.0,109.0,112.0,1.0,4893100.0,546878500.0,745.0,69.1,113.0,432800.0,112.0,368700.0,1537546000.0,308000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
