date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,690.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,143.8,700.0,500.0,650.0,200.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,690.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,143.8,710.0,1000.0,650.0,200.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,690.0,0.0,0.0,700.0,700.0,700.0,10.0,100.0,70000.0,1.0,145.8,695.0,1800.0,605.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,700.0,0.0,0.0,700.0,700.0,700.0,0.0,100.0,70000.0,1.0,145.8,700.0,2900.0,605.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,145.8,690.0,500.0,650.0,200.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,145.8,565.0,100.0,560.0,2300.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,700.0,0.0,0.0,525.0,525.0,525.0,-175.0,100.0,52500.0,1.0,109.4,700.0,2100.0,570.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,525.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,109.4,650.0,100.0,595.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,525.0,0.0,0.0,640.0,590.0,640.0,115.0,200.0,123000.0,2.0,133.3,655.0,100.0,645.0,900.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,640.0,0.0,0.0,700.0,690.0,690.0,50.0,300.0,209000.0,3.0,143.8,690.0,1500.0,650.0,800.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,690.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,143.8,690.0,2000.0,600.0,500.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,690.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,143.8,690.0,2900.0,650.0,200.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,690.0,0.0,0.0,720.0,690.0,690.0,0.0,3600.0,2514000.0,8.0,143.8,690.0,1700.0,650.0,2000.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,690.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,143.8,690.0,100.0,600.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,690.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,143.8,690.0,1900.0,600.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,690.0,0.0,0.0,690.0,640.0,690.0,0.0,400.0,271000.0,3.0,143.8,680.0,100.0,650.0,200.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,690.0,0.0,0.0,680.0,650.0,650.0,-40.0,700.0,458000.0,3.0,135.4,680.0,500.0,655.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,650.0,0.0,0.0,670.0,650.0,670.0,20.0,600.0,400000.0,4.0,139.6,670.0,800.0,630.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,670.0,0.0,0.0,670.0,670.0,670.0,0.0,100.0,67000.0,1.0,139.6,660.0,800.0,620.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,670.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,139.6,680.0,1200.0,630.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,670.0,0.0,0.0,650.0,650.0,650.0,-20.0,2000.0,1300000.0,3.0,135.4,670.0,100.0,620.0,100.0,1875000000.0,1875000000.0,1875000000.0,0.0,0.0,,0.0,0.0,0.0
