date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,82.0,0.0,0.0,82.0,81.0,82.0,0.0,1130600.0,92036500.0,53.0,74.5,82.0,12800.0,81.0,617300.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,82.0,0.0,0.0,85.0,82.0,83.0,1.0,1396500.0,116517400.0,578.0,75.5,84.0,103900.0,83.0,337200.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,83.0,0.0,0.0,84.0,82.0,84.0,1.0,566100.0,46852800.0,34.0,76.4,84.0,319800.0,83.0,530000.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,84.0,0.0,0.0,84.0,82.0,84.0,0.0,1917100.0,158851100.0,62.0,76.4,84.0,645400.0,83.0,434700.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,84.0,0.0,0.0,84.0,82.0,84.0,0.0,1690100.0,140123300.0,51.0,76.4,84.0,178200.0,83.0,504900.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,84.0,0.0,0.0,84.0,81.0,83.0,-1.0,2409900.0,197747900.0,90.0,75.5,83.0,157800.0,82.0,567700.0,1429915525.0,1429915525.0,1429915525.0,0.0,94000.0,,0.0,0.0,0.0
2019-08-06,83.0,0.0,0.0,83.0,78.0,83.0,0.0,3647900.0,292666200.0,103.0,75.5,83.0,659700.0,81.0,434100.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,83.0,0.0,0.0,84.0,81.0,83.0,0.0,2040900.0,168973100.0,52.0,75.5,83.0,15700.0,82.0,208600.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,83.0,0.0,0.0,83.0,82.0,83.0,0.0,908800.0,74530800.0,38.0,75.5,83.0,238000.0,82.0,341500.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,83.0,0.0,0.0,83.0,83.0,83.0,0.0,1416900.0,117602700.0,41.0,75.5,84.0,152100.0,83.0,22600.0,1429915525.0,1429915525.0,1429915525.0,0.0,0.0,,0.0,0.0,0.0
