date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-04-25,100.0,0.0,0.0,135.0,114.0,135.0,35.0,1050397000.0,138423518300.0,40362.0,135.0,0.0,0.0,135.0,64371300.0,5235200000.0,1505000000.0,1500000000.0,1063900.0,1265900.0,,4731700.0,473201700.0,5.0
2022-04-26,135.0,0.0,0.0,182.0,150.0,182.0,47.0,499856400.0,85050566200.0,21814.0,182.0,0.0,0.0,182.0,78471900.0,5235200000.0,1505000000.0,1500000000.0,1291400.0,1030000.0,,0.0,0.0,0.0
2022-04-27,182.0,0.0,0.0,244.0,184.0,242.0,60.0,1828680700.0,378171934100.0,53730.0,242.0,242.0,2985100.0,240.0,40416200.0,5235200000.0,1505000000.0,1500000000.0,2346600.0,1412000.0,,3000000.0,624000000.0,1.0
2022-04-28,242.0,0.0,0.0,258.0,226.0,226.0,-16.0,325338400.0,79320953800.0,6396.0,226.0,226.0,91554700.0,0.0,0.0,5235200000.0,1505000000.0,1500000000.0,100000.0,452500.0,,0.0,0.0,0.0
2022-05-09,226.0,0.0,0.0,266.0,212.0,212.0,-14.0,135430800.0,28713724800.0,3967.0,212.0,212.0,110360000.0,0.0,0.0,5235200000.0,1505000000.0,1500000000.0,0.0,0.0,,0.0,0.0,0.0
2022-05-10,212.0,0.0,0.0,198.0,198.0,198.0,-14.0,132217300.0,26179025400.0,3930.0,198.0,198.0,80161600.0,0.0,0.0,5235200000.0,1505000000.0,1500000000.0,0.0,0.0,,0.0,0.0,0.0
2022-05-11,198.0,0.0,0.0,185.0,185.0,185.0,-13.0,65510700.0,12119479500.0,5093.0,185.0,185.0,74454900.0,0.0,0.0,5235200000.0,1505000000.0,1500000000.0,0.0,0.0,,0.0,0.0,0.0
2022-05-12,185.0,0.0,0.0,182.0,173.0,173.0,-12.0,896663500.0,156703093800.0,16636.0,173.0,173.0,27848800.0,0.0,0.0,5235200000.0,1505000000.0,1500000000.0,170000.0,2049800.0,,900.0,157500.0,1.0
2022-05-13,173.0,0.0,0.0,204.0,161.0,161.0,-12.0,564479000.0,96291751800.0,21044.0,161.0,161.0,23698500.0,0.0,0.0,5235200000.0,1505000000.0,1500000000.0,2059800.0,1468600.0,,0.0,0.0,0.0
2022-05-17,161.0,0.0,0.0,193.0,150.0,170.0,9.0,725655900.0,127039717100.0,24658.0,170.0,171.0,498500.0,170.0,3700.0,5235200000.0,1505000000.0,1500000000.0,2312400.0,3426500.0,,0.0,0.0,0.0
