date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-06-28T00:00:00,750.0,0.0,0.0,850.0,745.0,755.0,5.0,374023600.0,292913928500.0,47044.0,100.7,760.0,202400.0,755.0,2252200.0,24835000000.0,24834762500.0,24835000000.0,102199200.0,21804900.0,,94942500.0,71287920000.0,74.0
2021-06-29T00:00:00,755.0,0.0,0.0,770.0,715.0,735.0,-20.0,173551000.0,128215211500.0,12653.0,98.0,735.0,2298400.0,730.0,75500.0,24835000000.0,24834762500.0,24835000000.0,17976500.0,7601900.0,,32000000.0,24262500000.0,5.0
2021-06-30T00:00:00,735.0,0.0,0.0,755.0,730.0,750.0,15.0,85827700.0,64078677000.0,3956.0,100.0,750.0,1068700.0,745.0,7962500.0,24835000000.0,24834762500.0,24835000000.0,2178300.0,12234700.0,,614500.0,456243000.0,2.0
2021-07-01T00:00:00,750.0,0.0,0.0,760.0,735.0,750.0,0.0,43984500.0,32857608500.0,2508.0,100.0,750.0,3517900.0,745.0,3229100.0,24835000000.0,24834762500.0,24835000000.0,2879000.0,100000.0,,0.0,0.0,0.0
2021-07-02T00:00:00,750.0,0.0,0.0,755.0,735.0,750.0,0.0,41392000.0,30811034000.0,1974.0,100.0,750.0,1153000.0,745.0,5104100.0,24835000000.0,24834762500.0,24835000000.0,2684700.0,1500000.0,,13333300.0,9999975000.0,1.0
2021-07-05T00:00:00,750.0,0.0,0.0,755.0,730.0,735.0,-15.0,38339300.0,28422544000.0,1393.0,98.0,735.0,791900.0,730.0,2564900.0,24835000000.0,24834762500.0,24835000000.0,0.0,124200.0,,0.0,0.0,0.0
2021-07-06T00:00:00,735.0,0.0,0.0,735.0,720.0,720.0,-15.0,51811500.0,37792564500.0,2160.0,96.0,725.0,159800.0,720.0,3159600.0,24835000000.0,24834762500.0,24835000000.0,900000.0,540800.0,,500000.0,362500000.0,1.0
2021-07-07T00:00:00,720.0,0.0,0.0,740.0,720.0,725.0,5.0,46850600.0,34112006000.0,1696.0,96.7,730.0,2730100.0,725.0,1030200.0,24835000000.0,24834762500.0,24835000000.0,28300.0,532600.0,,0.0,0.0,0.0
2021-07-08T00:00:00,725.0,0.0,0.0,730.0,715.0,720.0,-5.0,39980300.0,28887898500.0,1860.0,96.0,720.0,1437700.0,715.0,2071800.0,24835000000.0,24834762500.0,24835000000.0,236000.0,5141500.0,,0.0,0.0,0.0
2021-07-09T00:00:00,720.0,0.0,0.0,725.0,700.0,705.0,-15.0,36847100.0,26286596000.0,1988.0,94.0,705.0,454900.0,700.0,1157900.0,24835000000.0,24834762500.0,24835000000.0,153800.0,345100.0,,0.0,0.0,0.0
