date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-08-08,396.0,0.0,0.0,494.0,494.0,494.0,98.0,14638600.0,7231468400.0,3262.0,124.7,0.0,0.0,494.0,280105800.0,23646668691.0,2519555700.0,2525464300.0,168200.0,0.0,,87678900.0,34899250000.0,19.0
2022-08-09,494.0,0.0,0.0,615.0,550.0,615.0,121.0,164677600.0,100585423000.0,12351.0,155.3,0.0,0.0,615.0,37124300.0,23646668691.0,2519555700.0,2525464300.0,190300.0,410300.0,,48500.0,29827500.0,2.0
2022-08-10,615.0,0.0,0.0,765.0,575.0,575.0,-40.0,73913200.0,43994364500.0,7107.0,145.2,575.0,16034200.0,0.0,0.0,23646668691.0,2519555700.0,2525464300.0,84400.0,392300.0,,4200.0,2604000.0,3.0
2022-08-11,575.0,0.0,0.0,625.0,535.0,590.0,15.0,122859000.0,72543409500.0,24558.0,149.0,595.0,1077800.0,590.0,993300.0,23646668691.0,2519555700.0,2525464300.0,226200.0,579500.0,,7323232.0,2899999872.0,1.0
2022-08-12,590.0,0.0,0.0,610.0,570.0,580.0,-10.0,16582000.0,9685641000.0,4363.0,146.5,580.0,118800.0,575.0,815000.0,23646668691.0,2519555700.0,2525464300.0,67000.0,0.0,,0.0,0.0,0.0
2022-08-15,580.0,0.0,0.0,590.0,540.0,570.0,-10.0,39906000.0,22144586000.0,5192.0,143.9,575.0,143100.0,570.0,2164700.0,23646668691.0,2519555700.0,2525464300.0,29000.0,5588900.0,,0.0,0.0,0.0
2022-08-16,570.0,0.0,0.0,590.0,550.0,565.0,-5.0,24732800.0,14094096000.0,3770.0,142.7,565.0,635600.0,560.0,1011200.0,23646668691.0,2519555700.0,2525464300.0,92100.0,9326000.0,,0.0,0.0,0.0
2022-08-18,565.0,0.0,0.0,580.0,530.0,570.0,5.0,49841600.0,27588880500.0,11100.0,143.9,570.0,960800.0,565.0,5106600.0,23646668691.0,2519555700.0,2525464300.0,200000.0,24319300.0,,0.0,0.0,0.0
2022-08-19,570.0,0.0,0.0,600.0,560.0,580.0,10.0,28668100.0,16759224000.0,3962.0,146.5,580.0,1257300.0,575.0,1226600.0,23646668691.0,2519555700.0,2525464300.0,127200.0,8541000.0,,0.0,0.0,0.0
2022-08-22,580.0,0.0,0.0,595.0,545.0,565.0,-15.0,17870000.0,9991536000.0,2570.0,142.7,565.0,1550600.0,560.0,3087800.0,23646668691.0,2519555700.0,2525464300.0,214600.0,1269300.0,,0.0,0.0,0.0
